1,"How much of the forecast was genuine and how much was fixed, it is a moot point.",other
2,"I did touch them one time you see but of course there was nothing doing, he wanted me.",other
3,We find that choice theorists admit that they introduce a style of moral paternalism at odds with liberal values.,other
4,"Well, here I am with an olive branch.",positive
5,"Its rudder and fin were both knocked out, and a four-foot-long gash in the shell meant even repairs on the bank were out of the question.",negative
6,Over my dead body are you arresting him.,negative
7,"Don't let him pick a fight now, we're almost home.",negative
8,He's a good fighter but there are certain points you can pick holes in.,negative
10,Aggie finally found the cat a good home and from that day onwards she had kept up a running battle with her mice.,other
12,She left the citizens of Riverbank to their shouting match and struck off along the trail to the footpath.,other
13,You must sink your differences.,other
14,"Brian, as ever, decided not to sit on the fence.",other
16,This is turning into one of those mediaeval disputes which split hairs endlessly.,negative
17,"So, you know, whilst I'm a little bit reluctant, in a way I think that's water under the bridge, and in my view actually the extension improves it all.",positive
18,"In 1978, in an attempt to wipe the slate clean, Pinochet declared an amnesty to cover all human rights abuses since the coup.",other
20,"Doctors who tried to help the wounded were caught in the crossfire, and in some places ambulances also came under attack.",negative
21,"I think we need a meeting to get it laid down, we need a meeting to clear the air or not clear the air necessarily but get some definitions down.",other
22,"Hitler, of course, was dead set against a war between Britain and Germany.",positive
23,"Well, what about the view, let me kind of play devil's advocate here against Freud and Bullett.",other
24,We'd fight like cat and dog.,negative
26,"They were always at it, hammer and tongs you know, they had what would be called something similar to a steam hammer..",negative
27,"Er we've all got to be friends in this situation, let bygones be bygones.",positive
28,"For Lisa's sake, for Celia's sake, perhaps it would be better to let sleeping dogs lie.",other
29,"Here we are at loggerheads with the rival practice, and I've gone and fallen in love with Robert's assistant.",positive
30,Rugby league's deadliest rivals lock horns in the season's big curtain-raiser at Gateshead tomorrow.,other
31,"For a brother and sister act, there was certainly no love lost between them.",negative
32,Trust a woman to make a mountain out of a molehill.,negative
33,Is that much ado about nothing really?,other
34,"Well, you weren't gonna argue the toss.",negative
35,"Then, in 1981, all hell broke loose in the Cambridge English Faculty.",negative
36,Battle lines are drawn for control of the Norfolk Capital hotels group.,negative
37,"Chantal hissed, her eyes locked on his in a battle of wills.",negative
39,Personal appearances always seemed to be a bone of contention.,negative
40,I've got a bone to pick with one club.,negative
41,"For once, the UK is in the good books of the European Space Agency.",positive
42,For God's sake bury the hatchet.,negative
43,I really should er phone Breezy up and call his bluff and find out,other
44,"I think if we knew what those heart and lung transplants cost, people would be up in arms that the National Health Service is being expected to fund that.",negative
45,Do me a favour and get off my back.,negative
48,"Someone was saying on television, one of those, er petrol weekend things, about all the black things, and they they were saying, you know, the black a black mood.",negative
49,"It was only a suggestion, Robyn; there's no need to blow a fuse.",negative
50,Blow a gasket.,negative
51,"If you blow your top, they'll nick you double quick.",negative
52,"Dear Father Christmas, I have a bone to pick with you.",negative
53,"You sound cheesed off, what's the matter?",negative
